Date,Location,Name,Team,Final Score,Opponent,OTs,OT Time Elapsed
2019-04-10,NYI,Bailey Josh,NYI,4-3,PIT,1,4:39
2019-04-13,CGY,MacKinnon Nathan,COL,3-2,CGY,1,8:27
2019-04-13,NSH,Smith Craig,NSH,2-1,DAL,1,5:00
2019-04-13,WSH,Orpik Brooks,WSH,4-3,CAR,1,1:48
2019-04-16,STL,Connor Kyle,WPG,2-1,STL,1,6:02
2019-04-17,COL,Rantanen Mikko,COL,3-2,CGY,1,10:23
2019-04-21,VEG,Hertl Tomas,SJS,2-1,VEG,2,31:17
2019-04-22,DAL,Klingberg John,DAL,2-1,NSH,1,17:02
2019-04-23,SJS,Goodrow Barclay,SJS,5-4,VEG,1,18:19
2019-04-24,WSH,McGinn Brock,CAR,4-3,WSH,2,31:05
2019-04-25,BOS,Coyle Charlie,BOS,3-2,CBJ,1,5:15
2019-04-26,NYI,Staal Jordan,CAR,1-0,NYI,1,4:04
2019-04-27,BOS,Duchene Matt,CBJ,3-2,BOS,2,23:42
2019-05-06,COL,Landeskog Gabriel,COL,4-3,SJS,1,2:32
2019-05-07,STL,Maroon Pat,STL,2-1,DAL,2,25:50
2019-05-15,STL,Karlsson Erik,SJS,5-4,STL,1,5:23
2019-05-29,BOS,Gunnarsson Carl,STL,3-2,BOS,1,3:51
