team,act
Duke,1
Virginia,2
North Carolina,3
Gonzaga,4
Tennessee,5
Michigan St.,6
Kentucky,7
Michigan,8
Houston,9
Texas Tech,10
LSU,11
Purdue,12
Kansas,13
Florida St.,15
Kansas St.,15
Virginia Tech,16
Marquette,17
Auburn,18
Wisconsin,19
Mississippi St.,20
Villanova,21
Maryland,22
Buffalo,23
Iowa St.,24
Louisville,25
Nevada,26
Cincinnati,27
Wofford,28
VCU,29
Syracuse,30
Mississippi,31
Utah St.,32
Washington,33
UCF,34
Baylor,35
Oklahoma,36
Iowa,37
Seton Hall,38
Minnesota,39
Florida,40
Ohio St.,41
Belmont,42
Saint Mary's,44
Arizona St.,45
Murray St.,46
St. John's,47
Oregon,48
N Mexico St.,49
Liberty,50
UC Irvine,51
Vermont,52
Saint Louis,53
Northeastern,54
Yale,55
Old Dominion,56
Georgia St.,57
N. Kentucky,58
Montana,59
Colgate,60
Bradley,61
Ab. Christian,62
Gardner Webb,63
Iona,64
F. Dickinson,66
N Dakota St.,67
NC Central,68
